K_VOL,MIN_THR,kept_rows,PR_AUC,ROC_AUC,BalancedAcc,MCC,best_thr,returncode
0.6,0.1,1206.0,0.582,0.5898,0.5845,0.1921,0.43,0
0.6,0.15,1206.0,0.582,0.5898,0.5845,0.1921,0.43,0
0.6,0.2,1203.0,0.5485,0.5708,0.5636,0.1641,0.6,0
0.8,0.1,1026.0,0.5663,0.5662,0.5706,0.1595,0.42,0
0.8,0.15,1026.0,0.5663,0.5662,0.5706,0.1595,0.42,0
0.8,0.2,1023.0,0.5744,0.5844,0.5879,0.1759,0.51,0
0.9,0.1,937.0,0.5979,0.5951,0.5982,0.2008,0.52,0
0.9,0.15,937.0,0.5979,0.5951,0.5982,0.2008,0.52,0
0.9,0.2,934.0,0.5905,0.5902,0.5752,0.1658,0.57,0
1.0,0.1,846.0,0.4975,0.5164,0.5541,0.1168,0.45,0
1.0,0.15,846.0,0.4975,0.5164,0.5541,0.1168,0.45,0
1.0,0.2,843.0,0.5299,0.5427,0.5541,0.1085,0.5,0
1.1,0.1,766.0,0.5336,0.5431,0.5725,0.145,0.51,0
1.1,0.15,766.0,0.5336,0.5431,0.5725,0.145,0.51,0
1.1,0.2,763.0,0.579,0.5844,0.6091,0.2404,0.44,0
