BalancedAcc,CV_MODE,CV_POINTS,K_VOL,MCC,MIN_THR,PR_AUC,ROC_AUC,SAVE_MODELS,XGB_COLSAMPLE_BYTREE,XGB_EARLY_STOPPING,XGB_GAMMA,XGB_LEARNING_RATE,XGB_MAX_DEPTH,XGB_MIN_CHILD_WEIGHT,XGB_N_ESTIMATORS,XGB_REG_LAMBDA,XGB_SUBSAMPLE,XGB_TREE_METHOD,parsed,returncode,trial
0.6224,1,"0.60,0.70,0.80,0.90",1.1,0.2675,0.2,0.5803,0.6019,0,0.7,80,0.5,0.02,4,5.0,6000,3.0,0.6,hist,1,0,1
0.6173,1,"0.60,0.70,0.80,0.90",1.1,0.2478,0.2,0.5942,0.6302,0,0.8,120,0.0,0.01,4,5.0,6000,1.0,1.0,hist,1,0,2
0.6015,1,"0.60,0.70,0.80,0.90",1.1,0.2423,0.2,0.5974,0.5906,0,0.6,200,2.0,0.02,2,5.0,6000,50.0,1.0,hist,1,0,3
0.5685,1,"0.60,0.70,0.80,0.90",1.1,0.1529,0.2,0.5464,0.5572,0,0.6,150,2.0,0.03,4,20.0,6000,50.0,0.6,hist,1,0,4
0.5855,1,"0.60,0.70,0.80,0.90",1.1,0.1902,0.2,0.552,0.5469,0,0.5,150,2.0,0.01,2,10.0,6000,1.0,0.8,hist,1,0,5
0.5945,1,"0.60,0.70,0.80,0.90",1.1,0.2171,0.2,0.5592,0.5807,0,0.8,80,0.0,0.05,3,20.0,6000,20.0,0.6,hist,1,0,6
0.5928,1,"0.60,0.70,0.80,0.90",1.1,0.2138,0.2,0.5727,0.5793,0,0.7,80,0.5,0.01,4,20.0,6000,20.0,1.0,hist,1,0,7
0.6078,1,"0.60,0.70,0.80,0.90",1.1,0.24,0.2,0.5773,0.5665,0,0.5,150,0.0,0.05,4,10.0,6000,3.0,0.8,hist,1,0,8
0.6101,1,"0.60,0.70,0.80,0.90",1.1,0.2737,0.2,0.5657,0.5917,0,0.7,80,0.5,0.03,3,20.0,6000,5.0,0.7,hist,1,0,9
0.6095,1,"0.60,0.70,0.80,0.90",1.1,0.2263,0.2,0.5769,0.5891,0,0.6,150,2.0,0.05,4,10.0,6000,3.0,1.0,hist,1,0,10
0.6086,1,"0.60,0.70,0.80,0.90",1.1,0.2812,0.2,0.5485,0.5577,0,0.5,200,0.0,0.03,4,10.0,6000,3.0,0.8,hist,1,0,11
0.598,1,"0.60,0.70,0.80,0.90",1.1,0.256,0.2,0.5577,0.5764,0,0.9,200,1.0,0.02,3,5.0,6000,50.0,0.7,hist,1,0,12
0.5911,1,"0.60,0.70,0.80,0.90",1.1,0.1881,0.2,0.576,0.5917,0,0.7,150,0.5,0.07,3,30.0,6000,3.0,0.7,hist,1,0,13
0.5987,1,"0.60,0.70,0.80,0.90",1.1,0.217,0.2,0.5824,0.5855,0,0.8,200,0.5,0.02,4,30.0,6000,5.0,1.0,hist,1,0,14
0.5968,1,"0.60,0.70,0.80,0.90",1.1,0.2269,0.2,0.558,0.5679,0,0.6,80,0.5,0.05,2,5.0,6000,50.0,0.6,hist,1,0,15
0.6111,1,"0.60,0.70,0.80,0.90",1.1,0.2298,0.2,0.5787,0.5836,0,0.8,80,1.0,0.07,3,30.0,6000,20.0,1.0,hist,1,0,16
0.6122,1,"0.60,0.70,0.80,0.90",1.1,0.2539,0.2,0.5794,0.5929,0,0.7,150,1.0,0.01,4,5.0,6000,50.0,1.0,hist,1,0,17
0.5889,1,"0.60,0.70,0.80,0.90",1.1,0.1999,0.2,0.5602,0.5689,0,0.5,120,1.0,0.07,3,10.0,6000,50.0,0.9,hist,1,0,18
0.6071,1,"0.60,0.70,0.80,0.90",1.1,0.2307,0.2,0.5789,0.5991,0,0.9,150,0.5,0.02,4,5.0,6000,20.0,0.8,hist,1,0,19
0.6061,1,"0.60,0.70,0.80,0.90",1.1,0.2309,0.2,0.5652,0.5923,0,0.7,150,0.0,0.01,2,5.0,6000,10.0,1.0,hist,1,0,20
0.602,1,"0.60,0.70,0.80,0.90",1.1,0.2419,0.2,0.5698,0.5812,0,0.6,200,0.0,0.01,3,10.0,6000,20.0,0.6,hist,1,0,21
0.5891,1,"0.60,0.70,0.80,0.90",1.1,0.1884,0.2,0.5738,0.5786,0,0.8,200,0.5,0.03,2,10.0,6000,20.0,0.7,hist,1,0,22
0.5946,1,"0.60,0.70,0.80,0.90",1.1,0.23,0.2,0.5695,0.5868,0,0.8,200,1.0,0.05,2,10.0,6000,50.0,0.8,hist,1,0,23
0.606,1,"0.60,0.70,0.80,0.90",1.1,0.2552,0.2,0.5501,0.55,0,0.5,120,0.0,0.07,2,10.0,6000,5.0,0.7,hist,1,0,24
0.5863,1,"0.60,0.70,0.80,0.90",1.1,0.1839,0.2,0.5449,0.5472,0,0.5,80,0.0,0.02,4,10.0,6000,50.0,0.6,hist,1,0,25
